period_flag,category_raw,value
CORE,과실범죄 / 남자검거인원[명],78039.0
CORE,식품위생법 / 발생건수[건],77945.0
CORE,특가법(도주차량) / 발생건수[건],77381.0
CORE,청소년보호법 / 검거건수[건],77321.0
CORE,식품위생법 / 검거건수[건],77231.0
CORE,특가법(도주차량) / 검거인원[명],76163.0
CORE,근로자 퇴직급여 보장법 / 검거인원[명],76086.0
CORE,도박과 복표 / 발생건수[건],76002.0
CORE,도박 / 발생건수[건],75974.0
CORE,저작권법 / 남자검거인원[명],75879.0
CORE,게임산업진흥에 관한법률 / 검거인원[명],75505.0
CORE,과실범죄 / 검거건수[건],74611.0
CORE,아동복지법 / 검거인원[명],74308.0
CORE,도박과 복표 / 검거건수[건],74012.0
CORE,도박 / 검거건수[건],73987.0
CORE,권리행사방해 / 남자검거인원[명],73576.0
CORE,사기 / 미상검거인원[명],72626.0
CORE,특가법(도주차량) / 검거건수[건],71966.0
CORE,경범죄처벌법 / 발생건수[건],71624.0
CORE,권리행사방해 / 검거건수[건],69634.0
CORE,마약류관리에 관한법률(향정) / 발생건수[건],68347.0
CORE,성매매알선 등 행위의 처벌에 관한법률 / 발생건수[건],67418.0
CORE,성매매알선 등 행위의 처벌에 관한법률 / 검거건수[건],65811.0
CORE,경범죄처벌법 / 검거인원[명],65746.0
CORE,예비군법 / 발생건수[건],65605.0
CORE,무고 / 검거인원[명],65314.0
CORE,근로자 퇴직급여 보장법 / 남자검거인원[명],64966.0
CORE,마약류관리에 관한법률(향정) / 검거건수[건],64394.0
CORE,특가법(도주차량) / 남자검거인원[명],64287.0
CORE,성매매알선 등 행위의 처벌에 관한법률 / 여자검거인원[명],63766.0
CORE,아동복지법 / 발생건수[건],63683.0
CORE,경범죄처벌법 / 검거건수[건],63260.0
CORE,아동복지법 / 검거건수[건],62293.0
CORE,마약류관리에 관한법률(향정) / 남자검거인원[명],62284.0
CORE,보험사기방지특별법 / 검거인원[명],62067.0
CORE,게임산업진흥에 관한법률 / 남자검거인원[명],61961.0
CORE,카메라등 이용촬영 / 발생건수[건],60798.0
CORE,침입절도 / 발생건수[건],60525.0
CORE,산업안전보건법 / 검거인원[명],60517.0
CORE,예비군법 / 검거건수[건],60451.0
CORE,공무원범죄 / 검거인원[명],59858.0
CORE,공갈 / 발생건수[건],59789.0
CORE,예비군법 / 검거인원[명],59218.0
CORE,예비군법 / 남자검거인원[명],59144.0
CORE,배임,58895.0
CORE,강간 / 검거인원[명],58763.0
CORE,경범죄처벌법 / 남자검거인원[명],58410.0
CORE,강간 / 남자검거인원[명],57635.0
CORE,전자금융거래법 / 여자검거인원[명],57582.0
CORE,공갈 / 검거인원[명],57200.0
CORE,카메라등 이용촬영 / 검거건수[건],56949.0
CORE,재산범죄 / 미상검거인원[명],56489.0
CORE,산업안전보건법 / 남자검거인원[명],56419.0
CORE,식품위생법 / 여자검거인원[명],55768.0
CORE,업무상과실치사상 / 검거인원[명],54286.0
CORE,무고 / 발생건수[건],54274.0
CORE,강간 / 발생건수[건],53740.0
CORE,병역법 / 발생건수[건],53388.0
CORE,강간 / 검거건수[건],52213.0
