mapping_version,source,year_from,year_to,category_raw,category_std,confidence,notes
v2,NPA,2024,2025,여객자동차 운수사업법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,도시 및 주거환경정비법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,농지법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,보조금관리에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,통화,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,장물,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,화학물질관리법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,집회및시위에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,최저임금법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,위험물안전관리법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,석유 및 석유대체연료 사업법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,통신비밀보호법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,축산물위생관리법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,부동산실권리자 명의등기에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,학원의 설립운영 및 과외교습에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,노동조합 및 노동관계조정법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,변호사법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,도주와범인은닉,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,약취와 유인,TRAFFICKING,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,약취/유인,TRAFFICKING,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,공안을해하는죄,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,살인(기수),OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,개발제한구역의 지정 및 관리에 관한 특별조치법,OTHER,LOW,AUTO_FROM_RAW
