mapping_version,source,year_from,year_to,category_raw,category_std,confidence,notes
v1,NPA,2005,2023,강제추행 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,강제추행 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,정보통신망이용촉진 및 정보보호 등에 관한법률 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,저작권법 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,강제추행 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,기타특별법 / 여자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,배임 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,위조범죄 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,전자금융거래법 / 남자검거인원[명],FRAUD_FIN,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,신용업무경매,OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,주거침입 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,위조범죄 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,공무방해,OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,문서 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,문서 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,명예,OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,근로자 퇴직급여 보장법 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도박과복표,OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,근로자 퇴직급여 보장법 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,컴퓨터등사용사기 / 발생건수[건],FRAUD_FIN,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,주거침입 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,풍속범죄 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,손괴 / 여자검거인원[명],OTHER,LOW,AUTO_DRAFT
